threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.1,0.9713711702661979,0.15608503352832073,0.2464008153904956,0.3930894308943089,0.33644444444444443,1094,5915,57,1934,399800,True,False,False,XGB,SPW=2.0,0.15608503352832073
0.11,0.9628327473631341,0.1884719646169211,0.25207100591715975,0.3995414756148395,0.35977777777777775,1321,5688,74,1917,303600,True,False,False,XGB,SPW=2.0,0.1884719646169211
0.12,0.9558011049723757,0.2221429590526466,0.2587355540448674,0.40723304087310075,0.3844444444444444,1557,5452,88,1903,244000,True,False,False,XGB,SPW=2.0,0.2221429590526466
0.13,0.9457559015570065,0.25510058496219146,0.2650619369369369,0.41407366684991753,0.4078888888888889,1788,5221,108,1883,116400,True,False,False,XGB,SPW=2.0,0.25510058496219146
0.13999999999999999,0.9331993972877951,0.28477671565130547,0.27041187600058214,0.4193184382757843,0.4282222222222222,1996,5013,133,1858,-75400,True,False,False,XGB,SPW=2.0,0.28477671565130547
0.14999999999999997,0.922149673530889,0.3163076045084891,0.27700663850331925,0.42603550295857995,0.4503333333333333,2217,4792,155,1836,-229000,True,False,False,XGB,SPW=2.0,0.3163076045084891
0.15999999999999998,0.9146157709693621,0.34241689256669994,0.28320373250388803,0.4324902030637691,0.469,2400,4609,170,1821,-320800,True,False,False,XGB,SPW=2.0,0.34241689256669994
0.16999999999999998,0.9030637870416875,0.37508917106577255,0.29103269666558756,0.44020075896682576,0.4918888888888889,2629,4380,193,1798,-482200,True,False,False,XGB,SPW=2.0,0.37508917106577255
0.17999999999999997,0.8905072827724761,0.40176915394492796,0.2971840429098223,0.44564534372250847,0.5098888888888888,2816,4193,218,1773,-682400,True,False,False,XGB,SPW=2.0,0.40176915394492796
0.18999999999999995,0.8764439979909593,0.4288771579397917,0.3035838552540014,0.4509626566739889,0.5278888888888889,3006,4003,246,1745,-914400,True,False,False,XGB,SPW=2.0,0.4288771579397917
0.19999999999999996,0.8674033149171271,0.4564131830503638,0.31190175185118296,0.45882040382571737,0.5473333333333333,3199,3810,264,1727,-1035200,True,False,False,XGB,SPW=2.0,0.4564131830503638
0.20999999999999996,0.8558513309894525,0.4840918818661721,0.32030075187969925,0.46614690192860075,0.5663333333333334,3393,3616,287,1704,-1210600,True,False,False,XGB,SPW=2.0,0.4840918818661721
0.21999999999999995,0.8427925665494727,0.5120559280924526,0.3291486857591212,0.47340950768796725,0.5852222222222222,3589,3420,313,1678,-1418200,True,False,False,XGB,SPW=2.0,0.5120559280924526
0.22999999999999995,0.826720241084882,0.5384505635611356,0.3372259782831387,0.4790454016298021,0.6022222222222222,3774,3235,345,1646,-1696200,True,False,False,XGB,SPW=2.0,0.5384505635611356
0.23999999999999994,0.8091411351079859,0.5608503352832073,0.3435700575815739,0.4823353293413173,0.6157777777777778,3931,3078,380,1611,-2018400,True,False,False,XGB,SPW=2.0,0.5608503352832073
0.24999999999999992,0.7915620291310899,0.5869596233414182,0.3524938492507269,0.48777468276075514,0.6322222222222222,4114,2895,415,1576,-2330200,False,False,False,XGB,SPW=2.0,0.5869596233414182
0.2599999999999999,0.7764942240080361,0.6116421743472678,0.3622305529522024,0.4940086275762901,0.6481111111111111,4287,2722,445,1546,-2591000,False,False,False,XGB,SPW=2.0,0.6116421743472678
0.2699999999999999,0.7609241587142139,0.6338992723641033,0.3712325410438618,0.49901185770750983,0.662,4443,2566,476,1515,-2869600,False,False,False,XGB,SPW=2.0,0.6338992723641033
