Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline,0.819,0.6671289875173371,0.3624717407686511,0.4697265625,0.7778861909499183
Weighted,0.7646666666666667,0.475189725627554,0.613413715146948,0.5355263157894737,0.7758616213231553
