Approach,Recall,Precision,F1-Score,Missed_Defaults,Business_Profit,Profit_Improvement,Profit_Improvement_Pct
Baseline (XGB scale_pos_weight),0.3521,0.6695,0.4615,1290,-10935600,0,0.0
1. Feature Engineering,0.6353591160220995,0.4591651542649728,0.5330804888327012,726,-5189200,5746400,52.54764256190789
2. Threshold Optimization,0.9984932194876946,0.2255246738513897,0.3679437349620581,3,629000,11564600,105.75185632246973
3. Ensemble Stacking,0.622802611752888,0.4720213170917396,0.5370290168904288,751,-5423000,5512600,50.40967116573394
3b. Ensemble + Threshold,0.9899547965846308,0.23678519942335416,0.3821619001454193,20,631600,11567200,105.77563188119537
4. Custom Objective,0.9613259668508287,0.23609226594301222,0.3790849673202614,77,68600,11004200,100.62730897253009
4b. Custom Obj + Threshold,0.9984932194876946,0.22123302915646562,0.36221189760408123,3,560600,11496200,105.1263762390724
